2.0250000e+01_C   2.0250000e+01_C
-25.7500000  -25.7500000
-25.5000000  -25.5000000
-25.2500000  -25.2500000
-25.0000000  -25.0000000
-24.7500000  -24.7500000
-24.5000000  -24.5000000
-24.2500000  -24.2500000
-24.0000000  -24.0000000
-23.7500000  -23.7500000
-23.5000000  -23.5000000
-23.2500000  -23.2500000
-23.0000000  -23.0000000
-22.7500000  -22.7500000
-22.5000000  -22.5000000
-22.2500000  -22.2500000
-22.0000000  -22.0000000
-21.7500000  -21.7500000
-21.5000000  -21.5000000
-21.2500000  -21.2500000
-21.0000000  -21.0000000
-20.7500000  -20.7500000
-20.5000000  -20.5000000
-20.2500000  -20.2500000
-20.0000000  -20.0000000
-19.7500000  -19.7500000
-19.5000000  -19.5000000
-19.2500000  -19.2500000
-19.0000000  -19.0000000
-18.7500000  -18.7500000
-18.5000000  -18.5000000
-18.2500000  -18.2500000
-18.0000000  -18.0000000
-17.7500000  -17.7500000
-17.5000000  -17.5000000
-17.2500000  -17.2500000
-17.0000000  -17.0000000
-16.7500000  -16.7500000
-16.5000000  -16.5000000
-16.2500000  -16.2500000
-16.0000000  -16.0000000
-15.7500000  -15.7500000
-15.5000000  -15.5000000
-15.2500000  -15.2500000
-15.0000000  -15.0000000
-14.7500000  -14.7500000
-14.5000000  -14.5000000
-14.2500000  -14.2500000
-14.0000000  -14.0000000
-13.7500000  -13.7500000
-13.5000000  -13.5000000
-13.2500000  -13.2500000
-13.0000000  -13.0000000
-12.7500000  -12.7500000
-12.5000000  -12.5000000
-12.2500000  -12.2500000
-12.0000000  -12.0000000
-11.7500000  -11.7500000
-11.5000000  -11.5000000
-11.2500000  -11.2500000
-11.0000000  -11.0000000
-10.7500000  -10.7500000
-10.5000000  -10.5000000
-10.2500000  -10.2500000
-10.0000000  -10.0000000
 -9.7500000   -9.7500000
 -9.5000000   -9.5000000
 -9.2500000   -9.2500000
 -9.0000000   -9.0000000
 -8.7500000   -8.7500000
 -8.5000000   -8.5000000
 -8.2500000   -8.2500000
 -8.0000000   -8.0000000
 -7.7500000   -7.7500000
 -7.5000000   -7.5000000
 -7.2500000   -7.2500000
 -7.0000000   -7.0000000
 -6.7500000   -6.7500000
 -6.5000000   -6.5000000
 -6.2500000   -6.2500000
 -6.0000000   -6.0000000
 -5.7500000   -5.7500000
 -5.5000000   -5.5000000
 -5.2500000   -5.2500000
 -5.0000000   -5.0000000
 -4.7500000   -4.7500000
 -4.5000000   -4.5000000
 -4.2500000   -4.2500000
 -4.0000000   -4.0000000
 -3.7500000   -3.7500000
 -3.5000000   -3.5000000
 -3.2500000   -3.2500000
 -3.0000000   -3.0000000
 -2.7500000   -2.7500000
 -2.5000000   -2.5000000
 -2.2500000   -2.2500000
 -2.0000000   -2.0000000
 -1.7500000   -1.7500000
 -1.5000000   -1.5000000
 -1.2500000   -1.2500000
 -1.0000000   -1.0000000
 -0.7500000   -0.7500000
 -0.5000000   -0.5000000
 -0.2500000   -0.2500000
 0.0000000E+00   0.0000000E+00
  0.2500000    0.2500000
  0.5000000    0.5000000
  0.7500000    0.7500000
  1.0000000    1.0000000
  1.2500000    1.2500000
  1.5000000    1.5000000
  1.7500000    1.7500000
  2.0000000    2.0000000
  2.2500000    2.2500000
  2.5000000    2.5000000
  2.7500000    2.7500000
  3.0000000    3.0000000
  3.2500000    3.2500000
  3.5000000    3.5000000
  3.7500000    3.7500000
  4.0000000    4.0000000
  4.2500000    4.2500000
  4.5000000    4.5000000
  4.7500000    4.7500000
  5.0000000    5.0000000
  5.2500000    5.2500000
  5.5000000    5.5000000
  5.7500000    5.7500000
  6.0000000    6.0000000
  6.2500000    6.2500000
  6.5000000    6.5000000
  6.7500000    6.7500000
  7.0000000    7.0000000
  7.2500000    7.2500000
  7.5000000    7.5000000
  7.7500000    7.7500000
  8.0000000    8.0000000
  8.2500000    8.2500000
  8.5000000    8.5000000
  8.7500000    8.7500000
  9.0000000    9.0000000
  9.2500000    9.2500000
  9.5000000    9.5000000
  9.7500000    9.7500000
 10.0000000   10.0000000
 10.2500000   10.2500000
 10.5000000   10.5000000
 10.7500000   10.7500000
 11.0000000   11.0000000
 11.2500000   11.2500000
 11.5000000   11.5000000
 11.7500000   11.7500000
